date,amount,,,type,description,balance,category
16-Aug-14,-9.8,,,EFTPOS DEBIT,,1046.19,
16-Aug-14,-29,,,EFTPOS DEBIT,,1055.99,fun
16-Aug-14,-30.13,,,EFTPOS DEBIT,,1084.99,groceries
16-Aug-14,-33.98,,,MISCELLANEOUS DEBIT,OUTSTANDING TRANS   #1234-56789-9876-1234,1115.12,groceries
15-Aug-14,-13.39,,,MISCELLANEOUS DEBIT,V1234 14/08 WOOLWORTHS1073           DICKSON    04235432672,1149.1,groceries
15-Aug-14,-62.87,,,MISCELLANEOUS DEBIT,V1234 13/08 SUPABARN CITY            CANBERRA   12345678901,1162.49,groceries
15-Aug-14,-306,,,TRANSFER DEBIT,INTERNET TRANSFER   electricity         mj,1225.36,electricity
15-Aug-14,-6.68,,,EFTPOS DEBIT,EFTPOS 15/08 19:03  LYNEHAM SUPERMARKET,1531.36,groceries
14-Aug-14,-17.52,,,MISCELLANEOUS DEBIT,V1234 13/08 ALDI                     CANBERRA   03193719249,1538.04,groceries
14-Aug-14,-12,,,MISCELLANEOUS DEBIT,V1234 14/08 Uni House 6              Aust Nat U 12345678901,1555.56,eat
14-Aug-14,-12.9,,,MISCELLANEOUS DEBIT,V1234 13/08 EVERYDAY FOOD PTY LTD    ACTON      12345678901,1567.56,eat
13-Aug-14,1241.87,,,SALARY,4666424             ANU,1580.46,salary
11-Aug-14,331.22,,,INTER-BANK CREDIT,7E1K2074208553998K  CTRLINK YTH ALL,338.59,centrelink
11-Aug-14,-78.78,,,MISCELLANEOUS DEBIT,V1234 10/08 COLES EXPR  WILLOUGHBY   NSW        12345674221,7.37,fuel
11-Aug-14,-28.27,,,MISCELLANEOUS DEBIT,V1234 10/08 ALDI                     CANBERRA   07190782657,86.15,groceries
11-Aug-14,-13.7,,,MISCELLANEOUS DEBIT,V1234 09/08 WOOLWORTHS1099           ST IVES    06130006702,114.42,groceries
11-Aug-14,-50,,,MISCELLANEOUS DEBIT,V1234 09/08 ROAM TOLLING P/L         MELBOURNE  74940524221,128.12,car
11-Aug-14,-68.37,,,MISCELLANEOUS DEBIT,V1234 09/08 HFM ST IVES              ST IVES    74940524221,178.12,groceries
11-Aug-14,-9.02,,,MISCELLANEOUS DEBIT,V1234 08/08 HFM MANLY                MANLY      74940524220,246.49,groceries
11-Aug-14,-1000,,,TRANSFER DEBIT,INTERNET TRANSFER   save,255.51,transfer
08-Aug-14,-7,,,MISCELLANEOUS DEBIT,V1234 08/08 COLES  MANLY CORSO       NSW        12345674220,1255.51,eat
08-Aug-14,-21.15,,,EFTPOS DEBIT,EFTPOS 08/08 18:18  PIZZA CAPANNA,1262.51,eat
