01/09/2014,"+0.01","Credit Interest","+0.01"
11/08/2014,"-13.67","Transfer to other Bank NetBank house close","0.00"
11/08/2014,"-48.05","Transfer to CBA A/c NetBank house close","+13.67"
17/07/2014,"-307.12","Transfer to other Bank NetBank close house","+61.72"
17/07/2014,"-451.37","Transfer to other Bank NetBank close house","+368.84"
17/07/2014,"-46.21","Transfer to CBA A/c NetBank close house","+820.21"
08/07/2014,"+562.50","Direct Credit 454276 Rental Bonds 145009","+866.42"
01/06/2014,"+0.01","Credit Interest","+303.92"
01/03/2014,"+0.01","Credit Interest","+303.91"
17/12/2013,"+250.00","Direct Credit 128594 AJ AJ Rent","+303.90"
14/12/2013,"-60.01","ALDI STORES CANBERRA  AUS Card xx8604 Value Date: 11/12/2013","+53.90"
13/12/2013,"-12.00","TAMS NOWASTE MITCHEL0001 MITCHELL","+113.91"
13/12/2013,"-16.83","O'CONNOR IGA OCONNOR  AUS Card xx8604 Value Date: 10/12/2013","+125.91"
12/12/2013,"-9.34","O'CONNOR IGA OCONNOR  AUS Card xx8604 Value Date: 09/12/2013","+142.74"
12/12/2013,"-3.00","CAPITAL PARKING PTY CANBERRA  AUS Card xx8604 Value Date: 11/12/2013","+152.08"
11/12/2013,"-1028.57","Transfer to other Bank NetBank 47 moore asher","+155.08"
11/12/2013,"-23.00","TAMS NOWASTE MITCHEL0001 MITCHELL","+1183.65"
10/12/2013,"+250.00","Transfer from PHILIP SWAN NetBank PhilRent","+1206.65"
05/12/2013,"-222.85","Transfer to other Bank NetBank 47 moore asher","+956.65"
03/12/2013,"+250.00","Direct Credit 128594 AJ AJ Rent","+1179.50"
02/12/2013,"+171.09","Direct Credit 123079 Asher","+929.50"
01/12/2013,"+350.00","Transfer from BENJAMIN IRVING NetBank Ben Irving rent","+758.41"
01/12/2013,"+0.01","Credit Interest","+408.41"
27/11/2013,"+250.00","Direct Credit 128594 Rent Tom Rent tom","+408.40"
26/11/2013,"-7.99","TPG INTERNET PTY LTD NORTH RYDE NS AUS Card xx8604 Value Date: 21/11/2013","+158.40"
26/11/2013,"-97.25","WOOLWORTHS W1073 DICKSON  AUS Card xx8604 Value Date: 22/11/2013","+166.39"
25/11/2013,"+50.00","Direct Credit 128594 Tom food Tom food","+263.64"
22/11/2013,"-72.85","ALDI STORES CANBERRA  AUS Card xx8604 Value Date: 19/11/2013","+213.64"
21/11/2013,"-1200.00","Transfer to other Bank NetBank 47 moore asher","+286.49"
21/11/2013,"+350.00","Transfer from PHILIP SWAN NetBank PhilFOodREnt","+1486.49"
21/11/2013,"-8.73","O'CONNOR IGA OCONNOR  AUS Card xx8604 Value Date: 18/11/2013","+1136.49"
20/11/2013,"+300.00","Direct Credit 128594 Tom Tom Rent  food","+1145.22"
20/11/2013,"-3.00","CAPITAL PARKING PTY CANBERRA  AUS Card xx8604 Value Date: 19/11/2013","+845.22"
